Aguascalientes,97.8
Baja California,93.7
Baja California Sur,94.2
Campeche,85.7
Coahuila de Zaragoza,95.6
Colima,98.7
Chiapas,80.4
Chihuahua,93.2
Distrito Federal,99.2
Durango,88.3
Guanajuato,89.3
Guerrero,71.7
Hidalgo,83.4
Jalisco,96.9
México,92
Michoacán de Ocampo,85.4
Morelos,92.4
Nayarit,93.5
Nuevo León,97.2
Oaxaca,69.6
Puebla,84.9
Querétaro,91
Quintana Roo,94
San Luis Potosí,80.5
Sinaloa,90.9
Sonora,90
Tabasco,91.7
Tamaulipas,88.1
Tlaxcala,92.8
Veracruz de Ignacio de la Llave,80.2
Yucatán,80.1
Zacatecas,89
